source,target,asso,diss,adja
Abiotrophia,Allokutzneria,0.831543929,0.290220666,0.709779334
Abiotrophia,Amedibacterium,0.799689976,0.316472767,0.683527233
Abiotrophia,Anaerohalosphaera,0.816507252,0.302896639,0.697103361
Abiotrophia,Aneurinibacillus,0.778578137,0.332732523,0.667267477
Abiotrophia,Asaia,0.817129577,0.302382558,0.697617442
Abiotrophia,Aurantimonas,0.78707294,0.326287496,0.673712504
Abiotrophia,Bacterioplanoides,0.867611883,0.25728206,0.74271794
Abiotrophia,Blastomonas,0.87980549,0.245147415,0.754852585
Abiotrophia,Calycomorphotria,0.864035268,0.260734282,0.739265718
Abiotrophia,Candidozyma,0.847277111,0.276335746,0.723664254
Abiotrophia,Capilliphycus,0.836961301,0.285515936,0.714484064
Abiotrophia,Casimicrobium,0.862289129,0.262403193,0.737596807
Abiotrophia,Castellaniella,0.805980743,0.311463687,0.688536313
Abiotrophia,Catellatospora,0.824390989,0.29631825,0.70368175
Abiotrophia,Catenovulum,0.761346201,0.345437258,0.654562742
Abiotrophia,Cellulomonas,0.802868134,0.313952119,0.686047881
Abiotrophia,Chakrabartyella,0.860484731,0.264116706,0.735883294
Abiotrophia,Chamaesiphon,0.864034228,0.26073528,0.73926472
Abiotrophia,Chitiniphilus,0.859396899,0.265144396,0.734855604
Abiotrophia,Chitinolyticbacter,0.807467296,0.310268194,0.689731806
Abiotrophia,Demequina,0.79921289,0.31684942,0.68315058
Abiotrophia,Diaphorobacter,0.796598059,0.318905896,0.681094104
Abiotrophia,Dichelobacter,0.803808346,0.313202534,0.686797466
Abiotrophia,Dickeya,0.807071412,0.310587015,0.689412985
Abiotrophia,Echinicola,0.845630829,0.27782114,0.72217886
Abiotrophia,Endoriftia,0.773695594,0.336381039,0.663618961
Abiotrophia,Faecalimonas,0.8432943,0.279915791,0.720084209
Abiotrophia,Fastidiosipila,0.816665176,0.302766267,0.697233733
Abiotrophia,Ferrovibrio,0.792357277,0.322213224,0.677786776
Abiotrophia,Granulicatella,0.86171668,0.262948018,0.737051982
Abiotrophia,Gulosibacter,0.79835808,0.317523164,0.682476836
Abiotrophia,Halomicrobium,0.828476631,0.29285096,0.70714904
Abiotrophia,Harbinvirus,0.835329583,0.286941124,0.713058876
Absconditicoccus,Aquaspirillum,0.774420069,0.335842173,0.664157827
Absconditicoccus,Bodocaedibacter,0.787740622,0.325775519,0.674224481
Acetoanaerobium,Alicyclobacillus,0.787305453,0.326109297,0.673890703
Acetoanaerobium,Brachybacterium,0.796773039,0.318768694,0.681231306
Acetoanaerobium,Calothrix,0.805286203,0.31202067,0.68797933
Acetoanaerobium,Gloeobacter,0.819395222,0.300503559,0.699496441
Acetobacter,Acidisarcina,0.806484206,0.311059314,0.688940686
Acetobacter,Actinobaculum,0.784868868,0.327971898,0.672028102
Acetobacter,Alicyclobacillus,0.800115409,0.316136514,0.683863486
Acetobacter,Anaeropeptidivorans,0.773408684,0.336594204,0.663405796
Acetobacter,Annandia,0.804098626,0.312970744,0.687029256
Acetobacter,Aquipseudomonas,0.776292473,0.334445457,0.665554543
Acetobacter,Audreyjarvisvirus,0.782518674,0.329758492,0.670241508
Acetobacter,Aureibacter,0.757744837,0.34803388,0.65196612
Acetobacter,Caldinitratiruptor,0.774089465,0.336088184,0.663911816
Acetobacter,Chitinimonas,0.784723176,0.328082934,0.671917066
Acetobacter,Chloroherpeton,0.755058932,0.349957903,0.650042097
Acetobacter,Chondromyces,0.794797324,0.320314436,0.679685564
Acetobacter,Ewingella,0.764870127,0.342877436,0.657122564
Acetobacter,Halalkalicoccus,0.756655899,0.34881521,0.65118479
Acetobacter,Halostagnicola,0.807095012,0.310568018,0.689431982
Acetobacter,Hamiltonella,0.76339998,0.343947685,0.656052315
Acidisarcina,Actinobaculum,0.774574136,0.335727467,0.664272533
Acidisarcina,Aeromicrobium,0.799605603,0.316539411,0.683460589
Acidisarcina,Alkalilimnicola,0.832298221,0.28957018,0.71042982
Acidisarcina,Alternaria,0.764197403,0.343367585,0.656632415
Acidisarcina,Anaeromyxobacter,0.774423635,0.335839519,0.664160481
Acidisarcina,Anaeropeptidivorans,0.824296186,0.296398224,0.703601776
Acidisarcina,Annandia,0.806703209,0.31088325,0.68911675
Acidisarcina,Anoxybacter,0.846117949,0.277382454,0.722617546
Acidisarcina,Aquincola,0.755416336,0.34970249,0.65029751
