Node,Community
Gulosibacter,0
Demequina,0
Allokutzneria,0
Aurantimonas,0
Harbinvirus,0
Castellaniella,0
Endoriftia,0
Granulicatella,0
Dichelobacter,0
Catenovulum,0
Dickeya,0
Chitiniphilus,0
Aneurinibacillus,0
Capilliphycus,0
Aeromonas,0
Dyothetapapillomavirus,0
Ferrovibrio,0
Fulvivirga,0
Faecalimonas,0
Fastidiosipila,0
Carsonella,0
Blastomonas,0
Cellulomonas,0
Chakrabartyella,0
Candidozyma,0
Casimicrobium,0
Bacterioplanoides,0
Asaia,0
Calycomorphotria,0
Aureliella,0
Chamaesiphon,0
Anaerohalosphaera,0
Chitinolyticbacter,0
Diaphorobacter,0
Amedibacterium,0
Catellatospora,0
Abiotrophia,0
Geosporobacter,0
Echinicola,0
Halomicrobium,0
Agromyces,1
Faecalibacillus,1
Aegicerativicinus,1
Faecalibacterium,2
Claveliimonas,2
Gloeocapsopsis,2
Agathobaculum,2
Aquimarina,2
Cronobacter,2
Gloeobacter,3
Epidermidibacterium,3
Alloyangia,3
Caulobacter,3
Alicyclobacillus,3
Aggregatibacter,3
Chitinibacter,3
Halovivax,3
Haemophilus,3
Eleftheria,3
Halomicronema,3
Acetoanaerobium,3
Halopiger,3
Akanthomyces,3
Beggiatoa,3
Haliotispira,3
Changchengzhania,3
Aggregatimonas,3
Babesia,3
Audreyjarvisvirus,3
Brettanomyces,3
Duganella,3
Aliiroseovarius,3
Aquifex,3
Alkalibacterium,3
Calothrix,3
Alkalihalophilus,3
Anaerostipes,3
Eneladusvirus,3
Atopobium,3
Halapricum,3
Australozyma,3
Cellvibrio,3
Brachybacterium,3
Enterococcus,3
Crocosphaera,3
Aureimonas,3
Dysosmobacter,3
Altererythrobacter,3
Haloplanus,3
Anaerobutyricum,3
Basilea,3
Carjivirus,4
Dictyoglomus,4
Desulfotalea,4
Aliisedimentitalea,4
Cylindrospermopsis,4
Azotobacter,4
Desulfomonile,4
Actinobacillus,4
Chromulinivorax,4
Amylibacter,4
Agarivorans,4
Gracilibacillus,5
Chitinivorax,5
Heliomicrobium,5
Herbaspirillum,5
Halosquirtibacter,5
Fusobacterium,5
Haloterrigena,5
Gimibacter,5
Arenibacter,5
Allobranchiibius,5
Halocella,5
Arsenicicoccus,5
Fadolivirus,5
Faustvirus,5
Chromohalobacter,5
Christensenella,5
Alphabaculovirus,5
Aquipseudomonas,5
Galbibacter,5
Ehrlichia,5
Ekhidna,5
Aquabacter,5
Evansella,5
Dolosigranulum,5
Frigoribacterium,5
Brochothrix,5
Dorea,5
Halocatena,5
Faecalibacter,5
Curculioniphilus,5
Barrientosiimonas,5
Gilvimarinus,5
Algicella,5
Areca,5
Desulfitobacterium,5
Cryobacterium,5
Ferriphaselus,5
Caminibacter,5
Electrothrix,5
Celeribacter,5
Croceimicrobium,5
Aquaspirillum,5
Alicycliphilus,5
Halanaerobium,5
Actinarchaeum,5
Anaerotruncus,5
Aureispira,5
Capsulimonas,5
Bodocaedibacter,5
Aquicella,5
Alphaentomopoxvirus,5
Anatilimnocola,5
Cardiobacterium,5
Brevibacillus,5
Frigidibacter,5
Ferrimonas,5
Absconditicoccus,5
Clostridioides,5
Blochmannia,6
Halalkaliarchaeum,6
Aspergillus,6
Hamiltonella,7
Alternaria,7
Flavobacterium,7
Ewingella,7
Auraticoccus,7
Aromatoleum,7
Deinococcus,7
Acidisarcina,7
Chitinimonas,7
Caldinitratiruptor,7
Desulfoscipio,7
Flavisolibacter,7
Cutaneotrichosporon,7
Anoxybacter,7
Biomaibacter,7
Alkalilimnicola,7
Alienimonas,7
Chazhemtobacterium,7
Biavirus,7
Gallibacterium,7
Glaesserella,7
Chondromyces,7
Actinobaculum,7
Citrifermentans,7
Chromobacterium,7
Caldifermentibacillus,7
Annandia,7
Chloroherpeton,7
Aquincola,7
Clostridium,7
Caldilinea,7
Frederiksenia,7
Acidovorax,7
Halalkalicoccus,7
Chondrinema,7
Austwickia,7
Anaeropeptidivorans,7
Gammapapillomavirus,7
Catalinimonas,7
Dolichospermum,7
Aureibacter,7
Anaeromyxobacter,7
Citricoccus,7
Desemzia,7
Aeromicrobium,7
Fretibacter,7
Alkanindiges,7
Cylindrospermum,7
Halostagnicola,7
Halorussus,7
Acetobacter,7
Clavibacter,7
Bacillus,8
Halovenus,8
Citrobacter,8
Azobacteroides,8
Gottfriedia,8
Effusibacillus,9
Antarcticibacterium,9
Delftia,9
Aerococcus,9
Bealeia,9
Aristophania,9
Bremerella,9
Cotonvirus,9
Cercospora,9
Advenella,9
Halolamina,9
Dehalococcoides,9
Aster,9
Bizionia,9
Halomontanus,9
Georgenia,9
Egbenema,9
Cellulosimicrobium,9
Allotamlana,9
Flaviflexus,9
Azospira,9
Haloprofundus,9
Flagellimonas,9
Bisgaardia,9
Amylolactobacillus,9
Aquiluna,9
Cellulosilyticum,9
Duffyella,9
Halobacteriovorax,9
Aeribacillus,9
Capillimicrobium,9
Constantimarinum,9
