Node,degree,betweenness,closeness,eigenvector
Cellulomonas sp. S1-8,0.03773584905660377,0.0,,
Jiangella alkaliphila,0.03773584905660377,0.0,,
Ilumatobacter sp.,0.03773584905660377,0.0,,
Kitasatospora cathayae,0.24528301886792453,0.05796643487136955,0.625,0.3618232021859672
Kitasatospora camelliae,0.18867924528301885,0.005350946424966746,0.4716981132075472,0.3196452841376448
Kitasatospora herbaricolor,0.18867924528301885,0.013712521150837556,0.4716981132075472,0.2973040311590272
Kitasatospora setae,0.18867924528301885,0.0028987260119335586,0.4716981132075472,0.3200852718285886
Kitasatospora fiedleri,0.16981132075471697,0.004318854826837412,0.46296296296296297,0.29837840751905637
Actinacidiphila glaucinigra,0.1509433962264151,0.007704382377822148,0.45454545454545453,0.24443549826299218
Actinacidiphila bryophytorum,0.18867924528301885,0.022462741258096844,0.5681818181818182,0.30264275628469667
Actinacidiphila sp. ITFR-21,0.07547169811320754,0.0047169811320754715,0.43103448275862066,0.11466949322198573
Embleya sp. NBC_00888,0.18867924528301885,0.024003864624329067,0.5681818181818182,0.27712058220422825
Embleya sp. NBC_00896,0.11320754716981132,0.0007216577971294952,0.43859649122807015,0.20366880265262827
Streptacidiphilus sp. P02-A3a,0.09433962264150943,0.00012094823415578132,0.4166666666666667,0.17084930517791275
Streptacidiphilus sp. PB12-B1b,0.11320754716981132,0.027914189906207323,0.5434782608695652,0.11865424884804221
Mycolicibacterium sp. P1-18,0.1509433962264151,0.002319197493362951,0.45454545454545453,0.26944172444769504
Actinomyces sp. HMT 175,0.18867924528301885,0.06908542997077104,0.5952380952380952,0.16638878642717492
Bacillus subtilis,0.09433962264150943,0.0,0.3472222222222222,0.16663588751079214
Kitasatospora albolonga,0.03773584905660377,0.0,0.32894736842105265,0.06316325111589145
Rubrobacter marinus,0.05660377358490566,0.003497131799018592,0.4098360655737705,0.041909714260417424
Actinomyces sp. HMT897,0.18867924528301885,0.032483640774642226,0.4716981132075472,0.07730546304934258
Actinomyces slackii,0.16981132075471697,0.010223982194228928,0.4716981132075472,0.07838803027277487
Actinomyces procaprae,0.1320754716981132,0.0021406588895703555,0.43859649122807015,0.05663744702767007
Mycolicibacterium confluentis,0.03773584905660377,0.0,,
Chroococcidiopsis sp. CCMEE 29,0.03773584905660377,0.0,,
Synechococcus sp. Minos11,0.03773584905660377,0.0,,
Mycobacterium sp. JS623,0.03773584905660377,0.0,,
Mycobacterium sp. DL,0.03773584905660377,0.0,,
Mycobacterium sp. AMU20-3851,0.03773584905660377,0.0,,
Actinomyces sp. oral taxon 897,0.1320754716981132,0.0023071812077617593,0.44642857142857145,0.06162189596910344
Actinomyces capricornis,0.11320754716981132,0.0019806209755411494,0.43859649122807015,0.05626060180672215
Nostoc sphaeroides,0.09433962264150943,0.0002116594097726173,0.43103448275862066,0.051342447984241216
Actinomyces sp. zg-332,0.1320754716981132,0.0035679729075955486,0.36231884057971014,0.042179926017771416
Actinomyces radicidentis,0.05660377358490566,0.0,0.3333333333333333,0.015770661396834515
Actinomyces israelii,0.05660377358490566,0.0,0.3333333333333333,0.015770661396834515
Anabaena sp. 90,0.09433962264150943,0.0016932752781809383,,
Bacillus sp. SCS-153A,0.07547169811320754,0.00024189646831156264,,
Bacillus sp. FJAT-42376,0.07547169811320754,0.00024189646831156264,,
Bacillus sp. Cs-700,0.05660377358490566,0.0,,
Bacillus weihaiensis,0.07547169811320754,0.000725689404934688,,
Bacillus fonticola,0.03773584905660377,0.0,,
Staphylococcus saccharolyticus,0.03773584905660377,0.0,,
Mammaliicoccus lentus,0.03773584905660377,0.0,,
Salinicoccus sp. Bachu38,0.03773584905660377,0.0,,
Bacillus manliponensis,0.11320754716981132,0.0013304305757135945,,
Bacillus luti,0.1509433962264151,0.005140299951620706,,
Bacillus sp. 1NLA3E,0.05660377358490566,0.0,,
Bacillus sp. T3,0.05660377358490566,0.0,,
Bacillus sp. DX3.1,0.1320754716981132,0.00278180938558297,,
Bacillus sp. OxB-1,0.1320754716981132,0.0021770682148040637,,
Bacillus sp. CSS-39,0.1320754716981132,0.0021770682148040637,,
Bacillus tropicus,0.03773584905660377,0.0,,
Bacillus sp. NEB1478,0.09433962264150943,0.000181422351233672,,
Bacillus paramycoides,0.07547169811320754,0.0,,
