Node,Community
Ilumatobacter sp.,0
Jiangella alkaliphila,0
Cellulomonas sp. S1-8,0
Embleya sp. NBC_00896,1
Actinacidiphila sp. ITFR-21,1
Streptacidiphilus sp. P02-A3a,1
Kitasatospora herbaricolor,1
Mycolicibacterium sp. P1-18,1
Kitasatospora setae,1
Bacillus subtilis,1
Kitasatospora albolonga,1
Actinacidiphila glaucinigra,1
Embleya sp. NBC_00888,1
Kitasatospora fiedleri,1
Kitasatospora camelliae,1
Actinacidiphila bryophytorum,1
Kitasatospora cathayae,1
Actinomyces slackii,2
Rubrobacter marinus,2
Nostoc sphaeroides,2
Actinomyces israelii,2
Actinomyces capricornis,2
Actinomyces procaprae,2
Streptacidiphilus sp. PB12-B1b,2
Actinomyces radicidentis,2
Actinomyces sp. oral taxon 897,2
Actinomyces sp. zg-332,2
Actinomyces sp. HMT 175,2
Actinomyces sp. HMT897,2
Synechococcus sp. Minos11,3
Mycolicibacterium confluentis,3
Chroococcidiopsis sp. CCMEE 29,3
Mycobacterium sp. DL,4
Mycobacterium sp. AMU20-3851,4
Mycobacterium sp. JS623,4
Anabaena sp. 90,5
Bacillus sp. SCS-153A,5
Bacillus fonticola,5
Bacillus sp. Cs-700,5
Bacillus sp. FJAT-42376,5
Bacillus weihaiensis,5
Salinicoccus sp. Bachu38,6
Staphylococcus saccharolyticus,6
Mammaliicoccus lentus,6
Bacillus sp. 1NLA3E,7
Bacillus paramycoides,7
Bacillus manliponensis,7
Bacillus sp. OxB-1,7
Bacillus luti,7
Bacillus tropicus,7
Bacillus sp. CSS-39,7
Bacillus sp. NEB1478,7
Bacillus sp. DX3.1,7
Bacillus sp. T3,7
