Node,degree,betweenness,closeness,eigenvector
Aceticella,0.043478260869565216,0.0,0.275,0.06492385469431076
Debaryomyces,0.043478260869565216,0.0,0.275,0.06492385469431076
Halopiger,0.06521739130434782,0.017391304347826087,0.3548387096774194,0.11181442002382477
Advenella,0.043478260869565216,0.0005636070853462158,,
Agrilutibacter,0.06521739130434782,0.002254428341384863,,
Allocoprobacillus,0.08695652173913043,0.00571658615136876,,
Aestuariibaculum,0.043478260869565216,0.0,,
Ammonifex,0.06521739130434782,0.0024154589371980675,,
Gudongella,0.06521739130434782,0.0024154589371980675,,
Anabaena,0.08695652173913043,0.0020128824476650566,,
Deferribacter,0.13043478260869565,0.009178743961352657,,
Algihabitans,0.06521739130434782,0.0004830917874396135,,
Ferrovibrio,0.08695652173913043,0.003140096618357488,,
Aliirhizobium,0.043478260869565216,0.0,,
Cruoricaptor,0.17391304347826086,0.009017713365539451,,
Gleimia,0.21739130434782608,0.02206119162640902,,
Alkalilimnicola,0.043478260869565216,0.028985507246376812,0.44,0.16063797404529787
Aquella,0.043478260869565216,0.027053140096618356,0.4074074074074074,0.26276275456552306
Glycocaulis,0.08695652173913043,0.034782608695652174,0.44,0.17453862041919158
Halospeciosus,0.043478260869565216,0.0008051529790660224,,
Cysteiniphilum,0.043478260869565216,0.0014492753623188406,,
Anaerostipes,0.08695652173913043,0.0,,
Bordetella,0.08695652173913043,0.0,,
Chloroherpeton,0.08695652173913043,0.0,,
Citricoccus,0.10869565217391304,0.0014492753623188406,,
Croceimicrobium,0.10869565217391304,0.0014492753623188406,,
Anatilimnocola,0.08695652173913043,0.02367149758454106,0.3548387096774194,0.5546799648402766
Arthrobacter,0.043478260869565216,0.0,0.275,0.38157727143202624
Dermacoccus,0.043478260869565216,0.0,0.275,0.38157727143202624
Geosporobacter,0.06521739130434782,0.0004830917874396135,0.28205128205128205,0.48408838019963574
Antarctobacter,0.043478260869565216,0.0,,
Butyricimonas,0.043478260869565216,0.0,,
Epulonipiscium,0.043478260869565216,0.0,,
Aurantimicrobium,0.043478260869565216,0.0,,
Erwinia,0.08695652173913043,0.0014492753623188406,,
Bacteroides,0.043478260869565216,0.0,,
Furfurilactobacillus,0.043478260869565216,0.0,,
Emiliania,0.08695652173913043,0.000322061191626409,,
Ereboglobus,0.043478260869565216,0.0,,
Escherichia,0.06521739130434782,0.0,,
Halanaeroarchaeum,0.043478260869565216,0.0,,
Herbiconiux,0.06521739130434782,0.0,,
Eneladusvirus,0.043478260869565216,0.000966183574879227,,
Flexistipes,0.043478260869565216,0.0,,
Facklamia,0.043478260869565216,0.0014492753623188406,,
Fadolivirus,0.043478260869565216,0.0,0.3235294117647059,0.10134326904483557
Gordonia,0.043478260869565216,0.0,0.3235294117647059,0.10134326904483557
