source,target,asso,diss,adja
Microbacterium sp. SY138,Micromonospora sp. DPT,0.568857916,0.464296287,0.535703713
Microbacterium sp. SY138,Nonomuraea sp. N2-4H,0.633485329,0.428085664,0.571914336
Microbacterium sp. SY138,Jatrophihabitans cynanchi,0.501935022,0.499031551,0.500968449
Microbacterium sp. 1.5R,Microbacterium terricola,0.538356656,0.480439041,0.519560959
Microbacterium sp. 1.5R,Metabacillus indicus,0.520007025,0.489894364,0.510105636
Microbacterium sp. EF45047,Streptomyces sp. NBC_00490,0.522724658,0.488505549,0.511494451
Microbacterium sp. EF45047,Metabacillus indicus,0.544319791,0.477325994,0.522674006
Microbacterium hominis,Microbacterium esteraromaticum,0.577574265,0.459579011,0.540420989
Microbacterium hominis,Streptomyces sp. NBC_00490,0.542185369,0.478442594,0.521557406
Microbacterium hominis,Dactylosporangium vinaceum,0.565577285,0.466059393,0.533940607
Microbacterium esteraromaticum,Streptomyces sp. NBC_00490,0.509415723,0.495269763,0.504730237
Microbacterium esteraromaticum,Dactylosporangium vinaceum,0.63424444,0.427642117,0.572357883
Microbacterium esteraromaticum,Metabacillus indicus,0.540757318,0.47918821,0.52081179
Microbacterium terricola,Metabacillus indicus,0.508049821,0.495958758,0.504041242
Curtobacterium sp. Curtsp57,Priestia aryabhattai,0.522166491,0.488791115,0.511208885
Curtobacterium sp. Curtsp57,Metabacillus rhizosphaerae,0.634064633,0.427747219,0.572252781
Agrococcus sp. ProA11,Rathayibacter sp. VKM Ac-2801,0.591510852,0.451934258,0.548065742
Agrococcus sp. ProA11,Arthrobacter alpinus,0.509350677,0.495302596,0.504697404
Agrococcus sp. ProA11,Streptomyces sp. AM 3-1-1,0.545299193,0.476812755,0.523187245
Rathayibacter sp. VKM Ac-2801,Arthrobacter sulfonylureivorans,0.539874582,0.479648526,0.520351474
Rathayibacter sp. VKM Ac-2801,Arthrobacter alpinus,0.640298711,0.424088015,0.575911985
Rathayibacter sp. VKM Ac-2801,Streptomyces sp. AM 3-1-1,0.582408481,0.456941746,0.543058254
Arthrobacter sulfonylureivorans,Arthrobacter alpinus,0.529198399,0.485181204,0.514818796
Pseudarthrobacter defluvii,Brachybacterium huguangmaarense,0.540270094,0.479442336,0.520557664
Pseudarthrobacter defluvii,Georgenia sp. SUBG003,0.618511066,0.436743021,0.563256979
Pseudarthrobacter defluvii,Actinocatenispora sera,0.549904935,0.47439175,0.52560825
Paenarthrobacter sp. YJN-5,Brachybacterium huguangmaarense,0.506589937,0.496694103,0.503305897
Paenarthrobacter sp. YJN-5,Peribacillus muralis,0.607542187,0.442977321,0.557022679
Brachybacterium huguangmaarense,Georgenia sp. SUBG003,0.573902069,0.461572276,0.538427724
Brachybacterium huguangmaarense,Streptomyces sp. NBC_01281,0.509652741,0.495150108,0.504849892
Brachybacterium huguangmaarense,Actinocatenispora sera,0.558417029,0.469884545,0.530115455
Brachybacterium huguangmaarense,Peribacillus muralis,0.536078988,0.481622784,0.518377216
Brachybacterium huguangmaarense,Lysinibacillus telephonicus,0.507033261,0.496470915,0.503529085
Streptomyces sp. NBC_01281,Peribacillus muralis,0.555597386,0.471382337,0.528617663
Streptomyces phaeolivaceus,Rhodococcus sp. JVH1,0.500319583,0.499840183,0.500159817
Streptomyces phaeolivaceus,Micromonospora siamensis,0.57432341,0.46134401,0.53865599
Streptomyces phaeolivaceus,Bifidobacterium actinocoloniiforme,0.570163892,0.463592552,0.536407448
