Node,Community
Streptomyces sp. NBC_00490,0
Microbacterium terricola,0
Metabacillus indicus,0
Microbacterium hominis,0
Microbacterium esteraromaticum,0
Microbacterium sp. EF45047,0
Dactylosporangium vinaceum,0
Microbacterium sp. 1.5R,0
Arthrobacter alpinus,1
Streptomyces sp. AM 3-1-1,1
Rathayibacter sp. VKM Ac-2801,1
Arthrobacter sulfonylureivorans,1
Agrococcus sp. ProA11,1
Streptomyces sp. NBC_01281,2
Pseudarthrobacter defluvii,2
Actinocatenispora sera,2
Paenarthrobacter sp. YJN-5,2
Georgenia sp. SUBG003,2
Peribacillus muralis,2
Brachybacterium huguangmaarense,2
Corynebacterium sp. L2-79-05,3
Rhodococcus sp. JS3073,3
Dermatobacter hominis,3
Bacillus shivajii,3
Nocardia vinacea,3
Actinobaculum sp. 313,3
Lysinibacillus agricola,3
Bacillus amyloliquefaciens,3
Micromonospora sp. FIMYZ51,3
Rhodococcus sp. WAY2,4
Gordonia sp. w5E2,4
Rhodococcus sp. D-6,4
Rhodococcus sp. DMU1,5
Micromonospora siamensis,5
Paenibacillus sp. FSL F4-0100,5
Rhodococcus sp. ABRD24,5
Bifidobacterium actinocoloniiforme,5
Bifidobacterium pseudocatenulatum,5
Gordonia phthalatica,5
Streptomyces phaeolivaceus,5
Varibaculum prostatecancerukia,5
Corynebacterium freiburgense,5
Rhodococcus sp. JVH1,5
Bifidobacterium dentium,5
Nakamurella sp. PAMC28650,5
Rhodococcus sp. PD04,5
Micromonospora sp. NBC_01699,6
Actinotignum urinale,6
Pseudonocardia sp. DSM 110487,6
Cytobacillus solani,6
Kutzneria albida,6
Amycolatopsis roodepoortensis,6
Saccharopolyspora gregorii,6
Amycolatopsis thermalba,6
Micromonospora sp. NBC_01739,6
Virgibacillus pantothenticus,6
Amycolatopsis mongoliensis,6
Bacillus aquiflavi,7
Micromonospora sp. WMMD1128,7
Bacillus paranthracis,7
Actinomadura parvosata,8
Lysinibacillus telephonicus,8
Streptosporangium roseum,8
Solwaraspora sp. WMMA2056,8
Thermobispora bispora,8
Spirillospora sp. NBC_01491,8
Modestobacter italicus,9
Nonomuraea coxensis,9
Curtobacterium sp. Curtsp57,9
Priestia aryabhattai,9
Lysinibacillus sphaericus,9
Bacillus wiedmannii,9
Mesobacillus sp. AQ2,9
Sutcliffiella sp. FSL R7-0096,9
Phytohabitans flavus,9
Lysinibacillus louembei,9
Microbacterium sp. SY138,9
Nonomuraea sp. N2-4H,9
Jatrophihabitans cynanchi,9
Micromonospora sp. DPT,9
Longispora sp. K20-0274,9
Metabacillus rhizosphaerae,9
Micromonospora sp. WMMA1947,9
Metabacillus sediminis,9
