source,target,asso,diss,adja
Abiotrophia,Allokutzneria,0.831543929,0.290220666,0.709779334
Abiotrophia,Anaerohalosphaera,0.816507252,0.302896639,0.697103361
Abiotrophia,Asaia,0.817129577,0.302382558,0.697617442
Abiotrophia,Bacterioplanoides,0.867611883,0.25728206,0.74271794
Abiotrophia,Blastomonas,0.87980549,0.245147415,0.754852585
Abiotrophia,Calycomorphotria,0.864035268,0.260734282,0.739265718
Abiotrophia,Candidozyma,0.847277111,0.276335746,0.723664254
Abiotrophia,Capilliphycus,0.836961301,0.285515936,0.714484064
Abiotrophia,Casimicrobium,0.862289129,0.262403193,0.737596807
Abiotrophia,Castellaniella,0.805980743,0.311463687,0.688536313
Abiotrophia,Catellatospora,0.824390989,0.29631825,0.70368175
Abiotrophia,Cellulomonas,0.802868134,0.313952119,0.686047881
Abiotrophia,Chakrabartyella,0.860484731,0.264116706,0.735883294
Abiotrophia,Chamaesiphon,0.864034228,0.26073528,0.73926472
Abiotrophia,Chitiniphilus,0.859396899,0.265144396,0.734855604
Abiotrophia,Chitinolyticbacter,0.807467296,0.310268194,0.689731806
Abiotrophia,Dichelobacter,0.803808346,0.313202534,0.686797466
Abiotrophia,Dickeya,0.807071412,0.310587015,0.689412985
Abiotrophia,Echinicola,0.845630829,0.27782114,0.72217886
Abiotrophia,Faecalimonas,0.8432943,0.279915791,0.720084209
Abiotrophia,Fastidiosipila,0.816665176,0.302766267,0.697233733
Abiotrophia,Granulicatella,0.86171668,0.262948018,0.737051982
Abiotrophia,Halomicrobium,0.828476631,0.29285096,0.70714904
Abiotrophia,Harbinvirus,0.835329583,0.286941124,0.713058876
Acetoanaerobium,Calothrix,0.805286203,0.31202067,0.68797933
Acetoanaerobium,Gloeobacter,0.819395222,0.300503559,0.699496441
Acetobacter,Acidisarcina,0.806484206,0.311059314,0.688940686
Acetobacter,Alicyclobacillus,0.800115409,0.316136514,0.683863486
Acetobacter,Annandia,0.804098626,0.312970744,0.687029256
Acetobacter,Halostagnicola,0.807095012,0.310568018,0.689431982
Acidisarcina,Alkalilimnicola,0.832298221,0.28957018,0.71042982
Acidisarcina,Anaeropeptidivorans,0.824296186,0.296398224,0.703601776
Acidisarcina,Annandia,0.806703209,0.31088325,0.68911675
Acidisarcina,Anoxybacter,0.846117949,0.277382454,0.722617546
Acidisarcina,Aromatoleum,0.849888609,0.273962945,0.726037055
Acidisarcina,Austwickia,0.81153608,0.306972247,0.693027753
Acidisarcina,Biomaibacter,0.812443473,0.306232369,0.693767631
Acidisarcina,Caldifermentibacillus,0.831474294,0.290280645,0.709719355
Acidisarcina,Catalinimonas,0.824221295,0.296461385,0.703538615
Acidisarcina,Chitinimonas,0.870107607,0.254845436,0.745154564
Acidisarcina,Chondrinema,0.805071708,0.312192483,0.687807517
Acidisarcina,Clostridium,0.808477172,0.309453412,0.690546588
Acidisarcina,Deinococcus,0.815136557,0.304025856,0.695974144
Acidisarcina,Flavobacterium,0.851550244,0.27244243,0.72755757
