Node,Community
Endoriftia,0
Chitiniphilus,0
Candidozyma,0
Calycomorphotria,0
Gulosibacter,0
Diaphorobacter,0
Harbinvirus,0
Allokutzneria,0
Amedibacterium,0
Chakrabartyella,0
Carsonella,0
Dichelobacter,0
Chamaesiphon,0
Aurantimonas,0
Chitinolyticbacter,0
Catenovulum,0
Castellaniella,0
Bacterioplanoides,0
Dickeya,0
Casimicrobium,0
Catellatospora,0
Echinicola,0
Asaia,0
Granulicatella,0
Dyothetapapillomavirus,0
Cellulomonas,0
Halomicrobium,0
Anaerohalosphaera,0
Fastidiosipila,0
Abiotrophia,0
Capilliphycus,0
Faecalimonas,0
Blastomonas,0
Calothrix,1
Gloeobacter,1
Acetoanaerobium,1
Frigidibacter,2
Arenibacter,2
Dolosigranulum,2
Duganella,2
Haliotispira,2
Curculioniphilus,2
Halovivax,2
Aureimonas,2
Aeromonas,2
Alphabaculovirus,2
Brachybacterium,2
Babesia,2
Aquipseudomonas,2
Akanthomyces,2
Haemophilus,2
Basilea,2
Caminibacter,2
Actinobaculum,2
Alloyangia,2
Geosporobacter,2
Eneladusvirus,2
Epidermidibacterium,2
Australozyma,2
Brevibacillus,2
Alicyclobacillus,2
Dysosmobacter,2
Aquaspirillum,2
Brettanomyces,2
Enterococcus,2
Anaerostipes,2
Aggregatimonas,2
Changchengzhania,2
Audreyjarvisvirus,2
Dolichospermum,2
Anaerobutyricum,2
Eleftheria,2
Caulobacter,2
Halostagnicola,2
Crocosphaera,2
Chitinibacter,2
Alkalihalophilus,2
Haloplanus,2
Citrifermentans,2
Alkalibacterium,2
Citricoccus,2
Aggregatibacter,2
Atopobium,2
Aureibacter,2
Desulfoscipio,2
Ferriphaselus,2
Anaeromyxobacter,2
Flavobacterium,3
Acidisarcina,3
Biomaibacter,3
Chondrinema,3
Acetobacter,3
Gallibacterium,3
Chazhemtobacterium,3
Glaesserella,3
Clostridium,3
Halorussus,3
Auraticoccus,3
Anaeropeptidivorans,3
Chloroherpeton,3
Fretibacter,3
Aeromicrobium,3
Hamiltonella,3
Caldifermentibacillus,3
Aromatoleum,3
Flavisolibacter,3
Austwickia,3
Frederiksenia,3
Cutaneotrichosporon,3
Caldinitratiruptor,3
Alienimonas,3
Clavibacter,3
Alternaria,3
Anoxybacter,3
Annandia,3
Chitinimonas,3
Cylindrospermum,3
Alkalilimnicola,3
Chromobacterium,3
Desemzia,3
Aquincola,3
Deinococcus,3
Halalkalicoccus,3
Catalinimonas,3
Dehalococcoides,4
Delftia,4
Amylolactobacillus,4
Allotamlana,4
Halolamina,4
Aquiluna,4
Azospira,4
Flagellimonas,4
Flaviflexus,4
Aristophania,4
Egbenema,4
Aerococcus,4
Haloprofundus,4
Aeribacillus,4
Georgenia,4
Bremerella,4
Agathobaculum,5
Aquimarina,5
Claveliimonas,5
Amylibacter,6
Desulfomonile,6
Desulfotalea,6
Faustvirus,7
Ekhidna,7
Anatilimnocola,7
Halocatena,7
Clostridioides,7
Electrothrix,7
Arsenicicoccus,7
Halocella,7
Alphaentomopoxvirus,8
Frigoribacterium,8
Chromohalobacter,8
Algicella,8
Croceimicrobium,8
Fusobacterium,8
Halanaerobium,8
Allobranchiibius,8
Herbaspirillum,8
Capsulimonas,8
Aureispira,8
Brochothrix,8
Heliomicrobium,8
Evansella,8
Cardiobacterium,8
Galbibacter,8
Aquabacter,8
Aquicella,8
Cryobacterium,8
Desulfitobacterium,8
Ferrimonas,8
Dorea,8
Anaerotruncus,8
Haloterrigena,8
Gracilibacillus,8
Christensenella,8
