source,target,asso,diss,adja
Cellulomonas sp. S1-8,Jiangella alkaliphila,0.773469231,0.336549231,0.663450769
Cellulomonas sp. S1-8,Ilumatobacter sp.,0.769609711,0.339404102,0.660595898
Streptomyces lividans,Mycobacterium sp. PDNC021,0.759019061,0.347117371,0.652882629
Streptomyces lividans,Olsenella uli,0.751394433,0.352565999,0.647434001
Kitasatospora cathayae,Kitasatospora camelliae,0.76755412,0.340914857,0.659085143
Kitasatospora cathayae,Kitasatospora herbaricolor,0.767782152,0.340747596,0.659252404
Kitasatospora cathayae,Kitasatospora setae,0.767889668,0.340668705,0.659331295
Kitasatospora cathayae,Kitasatospora fiedleri,0.76860105,0.340146255,0.659853745
Kitasatospora cathayae,Actinacidiphila glaucinigra,0.759243356,0.346955792,0.653044208
Kitasatospora cathayae,Actinacidiphila bryophytorum,0.767392061,0.341033678,0.658966322
Kitasatospora cathayae,Actinacidiphila sp. ITFR-21,0.759149641,0.347023312,0.652976688
Kitasatospora cathayae,Embleya sp. NBC_00888,0.763662356,0.343756923,0.656243077
Kitasatospora cathayae,Embleya sp. NBC_00896,0.758820221,0.34726055,0.65273945
Kitasatospora cathayae,Streptacidiphilus sp. P02-A3a,0.757531587,0.348187028,0.651812972
Kitasatospora cathayae,Streptacidiphilus sp. PB12-B1b,0.758750114,0.347311017,0.652688983
Kitasatospora cathayae,Mycolicibacterium sp. P1-18,0.765311013,0.342555825,0.657444175
Kitasatospora cathayae,Actinomyces sp. HMT 175,0.75805021,0.347814455,0.652185545
Kitasatospora cathayae,Bacillus subtilis,0.754379706,0.350442787,0.649557213
Kitasatospora camelliae,Kitasatospora herbaricolor,0.769398392,0.339559721,0.660440279
Kitasatospora camelliae,Kitasatospora setae,0.769405777,0.339554284,0.660445716
Kitasatospora camelliae,Kitasatospora fiedleri,0.762922389,0.344294649,0.655705351
Kitasatospora camelliae,Actinacidiphila glaucinigra,0.767546438,0.34092049,0.65907951
Kitasatospora camelliae,Actinacidiphila bryophytorum,0.76300833,0.34423224,0.65576776
Kitasatospora camelliae,Embleya sp. NBC_00888,0.755278027,0.349801353,0.650198647
Kitasatospora camelliae,Embleya sp. NBC_00896,0.760492201,0.346054764,0.653945236
Kitasatospora camelliae,Streptacidiphilus sp. P02-A3a,0.754930762,0.350049452,0.649950548
Kitasatospora camelliae,Mycolicibacterium sp. P1-18,0.764497768,0.343148824,0.656851176
Kitasatospora camelliae,Bacillus subtilis,0.757275332,0.348370972,0.651629028
Kitasatospora herbaricolor,Kitasatospora setae,0.767835877,0.340708176,0.659291824
Kitasatospora herbaricolor,Kitasatospora fiedleri,0.764224446,0.343347895,0.656652105
Kitasatospora herbaricolor,Kitasatospora albolonga,0.759233206,0.346963106,0.653036894
Kitasatospora herbaricolor,Actinacidiphila glaucinigra,0.767948714,0.34062537,0.65937463
Kitasatospora herbaricolor,Actinacidiphila bryophytorum,0.756598393,0.348856422,0.651143578
Kitasatospora herbaricolor,Embleya sp. NBC_00888,0.751133307,0.352751111,0.647248889
Kitasatospora herbaricolor,Embleya sp. NBC_00896,0.76047236,0.346069097,0.653930903
Kitasatospora herbaricolor,Streptacidiphilus sp. PB12-B1b,0.750340124,0.353312805,0.646687195
Kitasatospora herbaricolor,Mycolicibacterium sp. P1-18,0.76512742,0.342689787,0.657310213
Kitasatospora herbaricolor,Bacillus subtilis,0.763453726,0.343908617,0.656091383
Kitasatospora setae,Kitasatospora fiedleri,0.759011577,0.347122761,0.652877239
Kitasatospora setae,Actinacidiphila glaucinigra,0.759092979,0.34706413,0.65293587
Kitasatospora setae,Actinacidiphila bryophytorum,0.761070931,0.34563642,0.65436358
Kitasatospora setae,Actinacidiphila sp. ITFR-21,0.751882757,0.352219565,0.647780435
Kitasatospora setae,Embleya sp. NBC_00888,0.762676059,0.344473469,0.655526531
Kitasatospora setae,Embleya sp. NBC_00896,0.764801863,0.342927206,0.657072794
Kitasatospora setae,Streptacidiphilus sp. P02-A3a,0.755235527,0.349831726,0.650168274
Kitasatospora setae,Streptacidiphilus sp. PB12-B1b,0.752532991,0.351757736,0.648242264
Kitasatospora setae,Mycolicibacterium sp. P1-18,0.7612818,0.345483863,0.654516137
Kitasatospora setae,Actinomyces sp. HMT 175,0.750979633,0.352860006,0.647139994
Kitasatospora setae,Bacillus subtilis,0.752287395,0.351932242,0.648067758
Kitasatospora fiedleri,Actinacidiphila glaucinigra,0.759321958,0.346899151,0.653100849
Kitasatospora fiedleri,Actinacidiphila bryophytorum,0.764809923,0.34292133,0.65707867
Kitasatospora fiedleri,Actinacidiphila sp. ITFR-21,0.752762257,0.351594755,0.648405245
Kitasatospora fiedleri,Embleya sp. NBC_00888,0.755867251,0.349379986,0.650620014
Kitasatospora fiedleri,Embleya sp. NBC_00896,0.752155052,0.352026241,0.647973759
Kitasatospora fiedleri,Mycolicibacterium sp. P1-18,0.768626156,0.340127802,0.659872198
Kitasatospora fiedleri,Bacillus subtilis,0.765018485,0.342769248,0.657230752
Kitasatospora albolonga,Actinacidiphila glaucinigra,0.758918523,0.347189773,0.652810227
Actinacidiphila glaucinigra,Actinacidiphila bryophytorum,0.752932977,0.351473344,0.648526656
Actinacidiphila glaucinigra,Embleya sp. NBC_00896,0.752406291,0.351847772,0.648152228
Actinacidiphila glaucinigra,Mycolicibacterium sp. P1-18,0.755599854,0.34957127,0.65042873
Actinacidiphila glaucinigra,Bacillus subtilis,0.763889976,0.343591344,0.656408656
Actinacidiphila bryophytorum,Actinacidiphila sp. ITFR-21,0.757983827,0.347862166,0.652137834
Actinacidiphila bryophytorum,Embleya sp. NBC_00888,0.762218439,0.344805424,0.655194576
Actinacidiphila bryophytorum,Embleya sp. NBC_00896,0.754506611,0.350352244,0.649647756
