Node,degree,betweenness,closeness,eigenvector
Cellulomonas sp. S1-8,0.02702702702702703,0.0,,
Jiangella alkaliphila,0.02702702702702703,0.0,,
Ilumatobacter sp.,0.02702702702702703,0.0,,
Streptomyces lividans,0.02702702702702703,0.00018511662347278786,,
Mycobacterium sp. PDNC021,0.02702702702702703,0.00018511662347278786,,
Olsenella uli,0.02702702702702703,0.00018511662347278786,,
Kitasatospora cathayae,0.1891891891891892,0.007830563970423131,0.6222222222222222,0.2962819366174791
Kitasatospora camelliae,0.14864864864864866,0.0013822374243493256,0.5283018867924528,0.2436586002321116
Kitasatospora herbaricolor,0.16216216216216217,0.010353340306831528,0.5833333333333334,0.2530655378204901
Kitasatospora setae,0.1891891891891892,0.007830563970423131,0.6222222222222222,0.2962819366174792
Kitasatospora fiedleri,0.14864864864864866,0.0015155896124960345,0.5283018867924528,0.2443234004174797
Actinacidiphila glaucinigra,0.13513513513513514,0.002068304294331692,0.45161290322580644,0.2099505945461956
Actinacidiphila bryophytorum,0.1891891891891892,0.007830563970423131,0.6222222222222222,0.29628193661747915
Actinacidiphila sp. ITFR-21,0.0945945945945946,0.0011752532300477506,0.5283018867924528,0.162675516306584
Embleya sp. NBC_00888,0.21621621621621623,0.03348285222343662,0.7,0.2896284812397643
Embleya sp. NBC_00896,0.13513513513513514,0.0009186960435953181,0.5185185185185185,0.22795476897706718
Streptacidiphilus sp. P02-A3a,0.0945945945945946,0.0013822041219301493,0.4827586206896552,0.15474754076742664
Streptacidiphilus sp. PB12-B1b,0.16216216216216217,0.016499477590200356,0.6363636363636364,0.22455488481578975
Mycolicibacterium sp. P1-18,0.12162162162162163,4.6279155868196966e-05,0.4444444444444444,0.20639719194280856
Actinomyces sp. HMT 175,0.20270270270270271,0.02102568742725699,0.6666666666666666,0.24034799220326392
Bacillus subtilis,0.10810810810810811,0.0,0.4375,0.18728298905458388
Kitasatospora albolonga,0.02702702702702703,0.0,0.3783783783783784,0.04237770260454844
Rubrobacter marinus,0.0945945945945946,0.0015182768607426144,0.5283018867924528,0.11423067066621215
Actinomyces sp. HMT897,0.17567567567567569,0.021522563962041243,0.5957446808510638,0.1547616139766274
Actinomyces slackii,0.14864864864864866,0.003855896664115841,0.5714285714285714,0.15217689229363893
Candidatus Planktophila lacus,0.04054054054054054,0.0,0.4666666666666667,0.06243483079340215
Streptococcus merionis,0.02702702702702703,0.0,0.42424242424242425,0.0406717799224833
Actinomyces sp. oral taxon 897,0.12162162162162163,0.0003883550116426829,0.5,0.12265594596688409
Actinomyces capricornis,0.13513513513513514,0.0025505401696586925,0.509090909090909,0.12581797275461873
Actinomyces procaprae,0.10810810810810811,0.00010450952231774149,0.49122807017543857,0.11307750059785383
Nostoc sphaeroides,0.10810810810810811,0.00010450952231774149,0.49122807017543857,0.11307750059785383
Mycolicibacterium sp. TUM20985,0.02702702702702703,0.0,,
Mycolicibacterium sediminis,0.02702702702702703,0.0,,
Mycobacterium sp. AMU20-3851,0.05405405405405406,0.001480932987782303,,
Mycolicibacterium confluentis,0.02702702702702703,0.0,,
Chroococcidiopsis sp. CCMEE 29,0.02702702702702703,0.0,,
Synechococcus sp. Minos11,0.02702702702702703,0.0,,
Mycobacterium sp. JS623,0.02702702702702703,0.0,,
Mycobacterium sp. DL,0.02702702702702703,0.0,,
Halothece sp. PCC 7418,0.02702702702702703,0.00018511662347278786,,
Actinomyces sp. zg-332,0.13513513513513514,0.004830444806095579,0.49122807017543857,0.10206822533330263
Actinomyces radicidentis,0.05405405405405406,0.0001234110823151919,0.39436619718309857,0.03770940309409628
Actinomyces israelii,0.05405405405405406,0.0001234110823151919,0.39436619718309857,0.02935570444976426
Actinomyces respiraculi,0.04054054054054054,0.0,0.3888888888888889,0.02619367766202964
Anabaena sp. 90,0.0945945945945946,0.026965321485869432,,
Bacillus sp. SCS-153A,0.05405405405405406,0.0,,
Bacillus sp. FJAT-42376,0.05405405405405406,0.0,,
Bacillus sp. Cs-700,0.05405405405405406,0.0,,
Bacillus smithii,0.04054054054054054,0.04738985560903369,,
Bacillus weihaiensis,0.08108108108108109,0.0017894606935702825,,
Bacillus fonticola,0.06756756756756757,0.012834752560779957,,
Bacillus arachidis,0.04054054054054054,0.0001234110823151919,,
Staphylococcus saccharolyticus,0.02702702702702703,0.0,,
Mammaliicoccus lentus,0.02702702702702703,0.0,,
Salinicoccus sp. Bachu38,0.02702702702702703,0.0,,
Mammaliicoccus vitulinus,0.02702702702702703,0.0,,
Mammaliicoccus stepanovicii,0.02702702702702703,0.0,,
Salinicoccus halodurans,0.02702702702702703,0.0,,
Bacillus manliponensis,0.0945945945945946,0.0011230408490682468,,
Bacillus luti,0.12162162162162163,0.006040972479328642,,
Bacillus sp. 1NLA3E,0.05405405405405406,0.0,,
Bacillus sp. T3,0.06756756756756757,0.0,,
Bacillus sp. DX3.1,0.13513513513513514,0.007521905467110945,,
Bacillus sp. OxB-1,0.0945945945945946,0.0018635073429593989,,
Bacillus sp. CSS-39,0.12162162162162163,0.029859311366160688,,
Bacillus sp. NEB1478,0.0945945945945946,0.00024065161051462424,,
Bacillus tropicus,0.02702702702702703,0.0,,
Bacillus paramycoides,0.0945945945945946,0.018141429100333215,,
Bacillus paralicheniformis,0.04054054054054054,0.0,,
Bacillus sp. FJAT-22090,0.04054054054054054,0.05294335431321733,,
Bacillus infantis,0.04054054054054054,0.05516475379489078,,
Bacillus sp. FJAT-18017,0.04054054054054054,0.052388004442798966,,
Bacillus sp. THAF10,0.02702702702702703,0.0018511662347278786,,
Bacillus sp. RS11,0.02702702702702703,0.0024065161051462424,,
Bacillus safensis,0.04054054054054054,0.0001234110823151919,,
