Node,Community
Jiangella alkaliphila,0
Cellulomonas sp. S1-8,0
Ilumatobacter sp.,0
Kitasatospora camelliae,1
Embleya sp. NBC_00896,1
Actinacidiphila bryophytorum,1
Actinacidiphila glaucinigra,1
Bacillus subtilis,1
Streptacidiphilus sp. P02-A3a,1
Embleya sp. NBC_00888,1
Kitasatospora cathayae,1
Streptococcus merionis,1
Mycolicibacterium sp. P1-18,1
Actinacidiphila sp. ITFR-21,1
Kitasatospora fiedleri,1
Kitasatospora herbaricolor,1
Kitasatospora albolonga,1
Kitasatospora setae,1
Actinomyces sp. HMT 175,2
Actinomyces capricornis,2
Rubrobacter marinus,2
Actinomyces israelii,2
Nostoc sphaeroides,2
Actinomyces sp. HMT897,2
Actinomyces sp. zg-332,2
Actinomyces sp. oral taxon 897,2
Actinomyces procaprae,2
Actinomyces respiraculi,2
Actinomyces radicidentis,2
Candidatus Planktophila lacus,2
Streptacidiphilus sp. PB12-B1b,2
Actinomyces slackii,2
Synechococcus sp. Minos11,3
Mycolicibacterium confluentis,3
Chroococcidiopsis sp. CCMEE 29,3
Mycolicibacterium sp. TUM20985,4
Mycobacterium sp. AMU20-3851,4
Mycolicibacterium sediminis,4
Mycobacterium sp. JS623,4
Mycobacterium sp. DL,4
Halothece sp. PCC 7418,5
Mycobacterium sp. PDNC021,5
Streptomyces lividans,5
Olsenella uli,5
Bacillus fonticola,6
Bacillus sp. RS11,6
Bacillus sp. SCS-153A,6
Bacillus safensis,6
Bacillus arachidis,6
Bacillus infantis,6
Bacillus sp. Cs-700,6
Bacillus sp. FJAT-42376,6
Anabaena sp. 90,6
Bacillus sp. FJAT-18017,6
Bacillus sp. THAF10,6
Bacillus smithii,6
Bacillus weihaiensis,6
Mammaliicoccus lentus,7
Salinicoccus sp. Bachu38,7
Staphylococcus saccharolyticus,7
Salinicoccus halodurans,8
Mammaliicoccus vitulinus,8
Mammaliicoccus stepanovicii,8
Bacillus sp. FJAT-22090,9
Bacillus sp. NEB1478,9
Bacillus luti,9
Bacillus sp. OxB-1,9
Bacillus sp. 1NLA3E,9
Bacillus paralicheniformis,9
Bacillus paramycoides,9
Bacillus sp. CSS-39,9
Bacillus tropicus,9
Bacillus sp. T3,9
Bacillus sp. DX3.1,9
Bacillus manliponensis,9
