Node,Community
Gudongella,0
Aestuariibaculum,0
Cysteiniphilum,0
Eneladusvirus,0
Facklamia,0
Ammonifex,0
Coprococcus,1
Anabaena,1
Flexistipes,1
Halospeciosus,1
Deferribacter,1
Advenella,1
Ferrovibrio,1
Ensifer,1
Allocoprobacillus,1
Algihabitans,1
Agrilutibacter,1
Ereboglobus,2
Erwinia,2
Gleimia,2
Aurantimicrobium,2
Aliirhizobium,2
Cruoricaptor,2
Emiliania,2
Escherichia,2
Herbiconiux,2
Halanaeroarchaeum,2
Croceimicrobium,3
Galbibacter,3
Egbenema,3
Furfurilactobacillus,3
Amaricoccus,3
Bordetella,3
Fluviispira,3
Citricoccus,3
Chloroherpeton,3
Anaerostipes,3
Dermacoccus,4
Aquella,4
Geosporobacter,4
Arthrobacter,4
Anatilimnocola,4
Epulonipiscium,5
Butyricimonas,5
Antarctobacter,5
Debaryomyces,6
Fadolivirus,6
Glycocaulis,6
Halopiger,6
Aceticella,6
Gordonia,6
Halobacillus,6
Alkalilimnicola,6
