source,target,asso,diss,adja
Microbacterium sp. SY138,Micromonospora sp. DPT,0.568857916,0.464296287,0.535703713
Microbacterium sp. SY138,Nonomuraea sp. N2-4H,0.633485329,0.428085664,0.571914336
Microbacterium hominis,Microbacterium esteraromaticum,0.577574265,0.459579011,0.540420989
Microbacterium hominis,Dactylosporangium vinaceum,0.565577285,0.466059393,0.533940607
Microbacterium esteraromaticum,Dactylosporangium vinaceum,0.63424444,0.427642117,0.572357883
Rhodococcus sp. ABRD24,Rhodococcus sp. JS3073,0.618703279,0.436632981,0.563367019
Rhodococcus sp. ABRD24,Rhodococcus sp. DMU1,0.627695977,0.431453371,0.568546629
Rhodococcus sp. ABRD24,Bifidobacterium pseudocatenulatum,0.559865905,0.469113044,0.530886956
Rhodococcus sp. JS3073,Nocardia vinacea,0.550753576,0.473944313,0.526055687
Rhodococcus sp. JS3073,Dermatobacter hominis,0.56361258,0.467112096,0.532887904
Rhodococcus sp. DMU1,Bifidobacterium pseudocatenulatum,0.604600751,0.444634259,0.555365741
Nocardia vinacea,Dermatobacter hominis,0.638233391,0.425303779,0.574696221
Micromonospora sp. DPT,Nonomuraea sp. N2-4H,0.640720489,0.423839304,0.576160696
Micromonospora sp. WMMA1947,Modestobacter italicus,0.579411153,0.4585787,0.5414213
Micromonospora sp. WMMA1947,Jatrophihabitans cynanchi,0.657561086,0.413786729,0.586213271
Micromonospora sp. WMMA1947,Metabacillus sediminis,0.554615148,0.471902983,0.528097017
Micromonospora sp. WMMA1947,Sutcliffiella sp. FSL R7-0096,0.75354242,0.351039585,0.648960415
Modestobacter italicus,Sutcliffiella sp. FSL R7-0096,0.561994822,0.467977124,0.532022876
Jatrophihabitans cynanchi,Metabacillus rhizosphaerae,0.772122186,0.337548377,0.662451623
Metabacillus rhizosphaerae,Metabacillus sediminis,0.559550716,0.469280984,0.530719016
