Node,degree,betweenness,closeness,eigenvector
Microbacterium sp. SY138,0.11764705882352941,0.0,,
Micromonospora sp. DPT,0.11764705882352941,0.0,,
Nonomuraea sp. N2-4H,0.11764705882352941,0.0,,
Microbacterium hominis,0.11764705882352941,0.0,,
Microbacterium esteraromaticum,0.11764705882352941,0.0,,
Dactylosporangium vinaceum,0.11764705882352941,0.0,,
Rhodococcus sp. ABRD24,0.1764705882352941,0.044117647058823525,0.7142857142857143,0.49999993558193184
Rhodococcus sp. JS3073,0.1764705882352941,0.044117647058823525,0.7142857142857143,0.49999993558193184
Rhodococcus sp. DMU1,0.11764705882352941,0.0,0.5,0.3535534361437207
Bifidobacterium pseudocatenulatum,0.11764705882352941,0.0,0.5,0.3535534361437207
Nocardia vinacea,0.11764705882352941,0.0,0.5,0.35355343614372065
Dermatobacter hominis,0.11764705882352941,0.0,0.5,0.35355343614372065
Micromonospora sp. WMMA1947,0.23529411764705882,0.04779411764705882,,
Modestobacter italicus,0.11764705882352941,0.0,,
Jatrophihabitans cynanchi,0.11764705882352941,0.011029411764705881,,
Metabacillus sediminis,0.11764705882352941,0.011029411764705881,,
Sutcliffiella sp. FSL R7-0096,0.11764705882352941,0.0,,
Metabacillus rhizosphaerae,0.11764705882352941,0.003676470588235294,,
