module,metadata,type,stat,p,q,n_samples,n_groups,note
0,Date,categorical,5.666666666666664,0.4615459233051794,0.4615459233051794,8,7.0,
1,Date,categorical,6.916666666666664,0.32862267213288116,0.4615459233051794,8,7.0,
2,Date,categorical,6.25,0.3957756599045996,0.4615459233051794,8,7.0,
3,Date,categorical,6.916666666666664,0.32862267213288116,0.4615459233051794,8,7.0,
4,Date,categorical,6.916666666666664,0.32862267213288116,0.4615459233051794,8,7.0,
0,Day,categorical,2.8888888888888857,0.23587708298570037,0.6131324019524041,8,3.0,
1,Day,categorical,0.6944444444444429,0.7066482778577168,0.7066482778577168,8,3.0,
2,Day,categorical,2.0277777777777786,0.36280532298705115,0.6131324019524041,8,3.0,
3,Day,categorical,2.0,0.36787944117144245,0.6131324019524041,8,3.0,
4,Day,categorical,1.3611111111111072,0.5063356166481016,0.6329195208101269,8,3.0,
0,concentration_pm2_5,numeric,0.407192929050508,0.31670918491612826,0.5278486415268805,8,,
1,concentration_pm2_5,numeric,-0.011976262619132589,0.9775466547038871,0.9775466547038871,8,,
2,concentration_pm2_5,numeric,0.6586944440522925,0.0756896878416385,0.18922421960409624,8,,
3,concentration_pm2_5,numeric,0.6826469692905576,0.06209269238231715,0.18922421960409624,8,,
4,concentration_pm2_5,numeric,0.2515015150017844,0.5479426035598269,0.6849282544497837,8,,
0,be,numeric,0.29615285103456107,0.47632727009702336,0.7938787834950389,8,,
1,be,numeric,0.34291382751370236,0.405662473506009,0.7938787834950389,8,,
2,be,numeric,-0.34291382751370236,0.405662473506009,0.7938787834950389,8,,
3,be,numeric,-0.17145691375685118,0.6847632211213339,0.8559540264016674,8,,
4,be,numeric,0.015586992159713743,0.9707791230144585,0.9707791230144585,8,,
0,na,numeric,-0.3064856665432782,0.46031184745811227,0.5753898093226403,8,,
1,na,numeric,-0.42141779149700753,0.29840847792382547,0.4973474632063758,8,,
2,na,numeric,0.47249873592088715,0.23709303350330987,0.4973474632063758,8,,
3,na,numeric,0.20432377769551877,0.6274220613656569,0.6274220613656569,8,,
